worker_id,zone_risk_tier,current_month,lstm_forecast_score,aqi_7day_avg,platform_tenure_weeks,loyalty_weeks_paid,historical_disruption_rate,policy_tier,peer_claim_rate_zone,actual_premium
WK829765,3,11,1.0,101.6,59,32,0.499,Standard,0.219,179.12
WK496086,3,6,1.0,106.1,179,157,0.574,Standard,0.201,176.33
WK947591,1,8,0.37,68.6,148,125,0.398,Basic,0.092,82.64
WK627191,3,12,1.0,102.34,144,82,0.54,Standard,0.219,118.8
WK557169,4,3,1.0,117.13,164,133,0.604,Premium,0.271,241.11
WK661862,1,5,0.375,77.12,31,21,0.418,Basic,0.065,72.73
WK701380,1,1,0.594,80.96,100,76,0.382,Premium,0.139,51.01
WK196424,4,1,1.0,70.28,72,57,0.603,Premium,0.221,273.19
WK693943,1,3,0.508,55.29,133,106,0.4,Basic,0.051,47.68
WK934301,2,10,0.91,96.63,113,70,0.496,Premium,0.175,264.58
WK414477,4,3,1.0,115.15,35,23,0.626,Premium,0.217,398.37
WK521843,5,5,1.0,78.97,21,10,0.681,Premium,0.318,474.22
WK674160,5,7,1.0,119.71,72,57,0.876,Basic,0.273,220.27
WK323297,1,1,0.638,92.24,177,167,0.483,Standard,0.054,78.7
WK861911,4,1,1.0,108.47,85,74,0.68,Standard,0.265,142.65
WK254920,1,1,0.417,86.95,175,106,0.431,Standard,0.081,79.45
WK530189,1,1,0.499,70.83,7,5,0.461,Standard,0.051,109.53
WK987060,2,3,0.638,98.25,107,80,0.475,Basic,0.173,68.82
WK368903,2,1,0.951,88.03,152,110,0.556,Basic,0.196,56.48
WK257246,1,7,0.344,78.3,71,39,0.398,Standard,0.084,188.55
WK425625,2,2,0.685,100.28,144,78,0.519,Standard,0.15,109.74
WK138801,2,8,0.762,105.38,53,32,0.533,Basic,0.197,117.17
WK370948,2,6,0.823,97.34,183,135,0.54,Standard,0.141,162.69
WK144283,1,10,0.525,68.91,108,58,0.338,Basic,0.072,65.8
WK188006,2,8,0.645,94.05,120,79,0.496,Standard,0.182,181.03
WK526777,4,12,1.0,118.47,182,112,0.629,Standard,0.232,153.45
WK980605,5,10,1.0,115.72,183,102,0.919,Basic,0.285,127.21
WK624548,4,1,1.0,105.63,37,21,0.629,Premium,0.243,269.7
WK194632,5,5,1.0,125.68,90,46,0.661,Basic,0.3,187.33
WK428634,3,5,1.0,92.52,105,53,0.541,Standard,0.19,155.33
WK880097,3,9,1.0,103.23,172,103,0.578,Premium,0.192,389.59
WK283662,5,6,1.0,146.57,109,83,0.828,Premium,0.344,439.27
WK718115,1,7,0.678,80.96,178,133,0.417,Standard,0.116,122.39
WK218448,4,5,1.0,112.31,194,118,0.584,Standard,0.251,193.29
WK358313,1,10,0.629,65.14,63,48,0.343,Standard,0.113,123.19
WK850435,4,7,1.0,121.4,76,55,0.644,Standard,0.283,296.76
WK735242,5,12,1.0,107.95,71,48,0.796,Standard,0.304,48.24
WK927119,5,10,1.0,124.59,138,124,0.709,Premium,0.272,403.75
WK834649,4,11,1.0,59.42,133,114,0.649,Premium,0.267,265.11
WK347864,5,9,1.0,120.42,157,108,0.731,Premium,0.299,453.8
WK512064,2,2,0.93,87.48,8,0,0.499,Standard,0.144,196.25
WK893423,2,5,0.89,102.55,107,50,0.559,Premium,0.112,285.6
WK268010,4,8,1.0,117.67,94,64,0.662,Basic,0.228,165.9
WK903986,4,2,1.0,107.38,147,112,0.628,Premium,0.291,260.7
WK183985,4,7,1.0,109.87,50,25,0.631,Standard,0.234,353.68
WK448884,1,11,0.418,82.48,175,144,0.497,Standard,0.134,71.93
WK832411,5,4,1.0,138.87,4,1,0.909,Basic,0.343,184.25
WK731364,2,8,0.871,72.43,164,83,0.45,Standard,0.173,199.1
WK128679,4,6,1.0,108.04,16,14,0.668,Standard,0.244,281.35
WK929443,3,7,1.0,104.64,35,19,0.522,Standard,0.203,284.24
WK420389,2,5,0.867,82.48,106,85,0.473,Standard,0.133,131.21
WK361728,3,7,1.0,105.48,60,47,0.587,Standard,0.247,324.07
WK819064,2,7,0.705,103.19,34,20,0.498,Standard,0.169,236.1
WK870883,2,4,0.793,98.08,97,61,0.517,Premium,0.178,188.51
WK966929,3,11,0.929,104.28,167,154,0.619,Standard,0.225,134.32
WK534631,5,4,1.0,137.93,186,160,0.721,Basic,0.266,123.55
WK975224,1,7,0.549,64.69,30,20,0.397,Premium,0.1,272.92
WK685661,4,9,1.0,120.73,74,59,0.639,Basic,0.284,138.65
WK835325,4,8,1.0,110.59,77,58,0.637,Standard,0.258,289.32
WK729557,3,5,0.929,88.94,22,10,0.501,Basic,0.244,137.18
WK278386,4,3,1.0,114.29,190,140,0.652,Basic,0.25,95.26
WK556297,4,11,1.0,121.93,171,120,0.622,Premium,0.284,238.8
WK848225,4,9,1.0,117.93,169,84,0.676,Basic,0.258,118.58
WK618172,3,11,1.0,111.16,164,107,0.577,Basic,0.184,73.33
WK729232,4,1,1.0,109.28,127,91,0.575,Standard,0.256,151.57
WK298561,2,7,0.612,104.53,119,86,0.534,Basic,0.176,99.02
WK130170,2,9,0.613,86.8,153,93,0.482,Basic,0.124,78.03
WK360380,3,5,0.958,104.2,40,33,0.57,Basic,0.164,102.33
WK591658,3,3,1.0,116.7,172,96,0.633,Standard,0.151,154.58
WK516866,5,2,1.0,90.87,21,9,0.718,Premium,0.292,446.47
WK871861,5,11,1.0,124.37,184,94,0.889,Premium,0.346,367.41
WK161606,1,2,0.335,60.71,183,146,0.35,Premium,0.141,139.96
WK471512,3,12,1.0,104.64,157,121,0.534,Standard,0.217,102.15
WK629050,2,8,0.996,95.91,51,35,0.495,Premium,0.144,47.73
WK238661,2,2,0.969,93.6,169,110,0.493,Basic,0.145,60.05
WK628216,3,12,1.0,101.45,15,9,0.594,Premium,0.217,271.82
WK432731,2,2,0.957,82.84,90,62,0.502,Standard,0.161,120.17
WK428486,2,7,0.974,98.37,81,73,0.543,Standard,0.198,195.52
WK975355,2,6,0.751,100.27,157,124,0.469,Basic,0.172,79.77
WK396668,1,6,0.4,85.14,124,71,0.422,Basic,0.083,64.57
WK556943,3,3,1.0,108.42,37,18,0.583,Basic,0.194,91.63
WK258612,3,6,0.912,95.91,146,78,0.623,Premium,0.151,310.08
WK255840,5,7,1.0,134.38,138,117,0.734,Basic,0.252,221.15
WK372864,3,3,1.0,94.75,171,107,0.602,Premium,0.21,52.17
WK618951,1,9,0.3,69.91,194,178,0.418,Basic,0.066,56.17
WK688098,4,1,1.0,114.03,149,85,0.598,Standard,0.299,146.53
WK854727,4,12,1.0,125.32,71,41,0.677,Basic,0.225,90.62
WK397917,1,11,0.308,85.01,171,135,0.439,Standard,0.056,94.46
WK962529,1,1,0.484,81.84,137,84,0.429,Basic,0.109,50.62
WK104326,2,7,0.962,102.21,169,109,0.524,Basic,0.135,94.44
WK180567,1,7,0.586,68.8,46,31,0.468,Basic,0.135,101.31
WK444622,1,11,0.434,60.59,18,11,0.356,Standard,0.06,97.62
WK719014,4,2,1.0,123.31,93,60,0.568,Basic,0.253,86.01
WK185000,3,3,1.0,103.88,137,94,0.569,Standard,0.188,145.25
WK382400,5,3,1.0,83.41,188,98,0.667,Basic,0.296,134.25
WK145976,5,3,1.0,113.66,24,10,0.627,Standard,0.341,272.91
WK151047,2,10,0.879,100.47,122,109,0.551,Premium,0.13,222.12
WK673734,3,2,1.0,104.38,10,2,0.529,Standard,0.216,194.81
WK286657,1,7,0.322,82.83,112,54,0.399,Premium,0.051,245.73
WK993749,3,6,1.0,105.83,103,80,0.545,Standard,0.193,238.49
WK398776,2,9,0.603,82.08,128,65,0.52,Premium,0.103,262.06
WK553360,2,3,0.844,89.53,105,58,0.529,Basic,0.102,69.3
WK200780,2,6,0.859,91.34,166,145,0.447,Standard,0.105,174.09
WK506941,5,1,1.0,121.2,168,151,0.734,Premium,0.299,328.56
WK543061,3,11,1.0,92.01,179,108,0.579,Premium,0.207,198.32
WK546711,5,11,1.0,131.7,175,150,0.711,Basic,0.299,135.64
WK809298,2,6,0.796,94.68,90,65,0.459,Premium,0.188,256.77
WK652891,5,3,1.0,120.08,148,106,0.692,Basic,0.298,102.03
WK183029,1,8,0.417,81.48,114,94,0.481,Standard,0.059,153.17
WK817555,2,8,0.765,93.34,82,67,0.499,Premium,0.105,301.02
WK409834,4,9,1.0,103.85,115,55,0.574,Premium,0.211,404.67
WK638354,4,1,1.0,121.58,16,9,0.696,Standard,0.204,183.64
WK587227,2,1,0.704,91.76,76,50,0.566,Standard,0.186,125.66
WK714012,2,1,0.638,101.37,128,118,0.536,Premium,0.132,161.74
WK793715,2,6,0.778,77.99,155,87,0.479,Standard,0.135,159.09
WK147457,4,8,1.0,113.32,9,6,0.619,Standard,0.29,314.73
WK859268,1,1,0.662,89.88,58,52,0.517,Basic,0.149,51.45
WK377950,5,3,1.0,139.67,147,103,0.758,Basic,0.256,101.16
WK182020,2,8,0.914,95.45,72,50,0.554,Standard,0.191,198.24
WK118785,5,7,1.0,152.34,131,62,0.755,Premium,0.338,588.9
WK787657,5,4,1.0,126.35,69,46,0.716,Premium,0.263,47.63
WK880399,3,10,1.0,107.37,179,153,0.551,Premium,0.158,244.84
WK952631,4,3,1.0,116.81,151,110,0.607,Standard,0.215,153.63
WK191892,3,5,0.907,87.85,68,52,0.539,Premium,0.23,246.45
WK955604,5,3,1.0,124.95,170,116,0.709,Premium,0.294,325.61
WK319393,2,3,0.719,97.0,108,92,0.54,Basic,0.114,65.8
WK556957,3,5,1.0,113.25,90,73,0.562,Standard,0.162,134.77
WK585936,3,3,1.0,104.77,185,120,0.594,Standard,0.16,125.27
WK274174,3,10,1.0,109.93,156,139,0.602,Premium,0.16,49.52
WK594392,2,4,0.903,100.59,187,169,0.486,Standard,0.169,138.36
WK311118,3,9,1.0,73.27,113,107,0.575,Basic,0.19,93.55
WK108256,4,7,1.0,102.81,19,7,0.63,Standard,0.227,467.01
WK989838,3,10,1.0,99.55,53,26,0.588,Premium,0.23,344.02
WK519095,4,4,1.0,100.96,44,35,0.568,Basic,0.201,51.38
WK163653,1,7,0.622,69.61,8,3,0.433,Standard,0.114,224.65
WK680130,5,9,1.0,160.24,196,125,0.79,Premium,0.277,546.63
WK222621,2,10,0.813,84.09,78,71,0.442,Standard,0.146,143.15
WK557420,3,10,1.0,95.88,184,132,0.563,Standard,0.16,163.31
WK592034,3,3,1.0,106.77,145,123,0.559,Standard,0.194,108.41
WK716204,4,9,1.0,124.29,172,133,0.673,Premium,0.28,384.7
WK407645,1,6,0.373,84.02,139,86,0.458,Standard,0.083,123.53
WK938603,2,4,0.703,93.27,179,117,0.535,Basic,0.117,85.21
WK885650,3,9,0.904,114.98,107,68,0.55,Standard,0.232,220.51
WK309174,2,7,0.774,102.9,158,113,0.518,Basic,0.173,94.85
WK536191,2,7,0.713,93.86,20,10,0.515,Basic,0.173,164.06
WK149334,3,10,1.0,85.27,11,5,0.566,Basic,0.164,118.19
WK266309,1,4,0.657,84.31,76,59,0.461,Standard,0.103,130.58
WK454140,5,6,1.0,138.09,55,30,0.72,Premium,0.336,596.6
WK334981,4,6,1.0,105.65,64,32,0.623,Standard,0.291,272.08
WK906747,3,12,1.0,94.66,91,70,0.546,Standard,0.232,119.41
WK994863,3,9,0.919,88.81,145,72,0.567,Standard,0.21,169.06
WK559094,3,10,0.979,99.88,10,6,0.55,Standard,0.218,218.89
WK919621,3,6,1.0,95.85,40,18,0.552,Basic,0.191,143.14
WK144008,1,7,0.425,76.43,122,90,0.432,Basic,0.109,69.95
WK315363,4,7,1.0,104.25,21,11,0.58,Premium,0.265,537.0
WK898977,4,11,1.0,118.97,183,162,0.677,Standard,0.223,153.4
WK481405,2,2,0.824,100.68,154,126,0.514,Standard,0.179,110.97
WK311697,4,11,1.0,125.55,75,47,0.689,Basic,0.254,94.05
WK948450,1,10,0.466,75.02,145,93,0.397,Basic,0.054,58.06
WK189374,3,5,0.909,108.12,110,80,0.549,Basic,0.242,88.51
WK797298,5,9,1.0,138.6,8,4,0.831,Standard,0.27,380.6
WK244697,1,8,0.583,71.6,49,24,0.444,Basic,0.137,99.96
WK993796,1,11,0.685,84.37,138,70,0.403,Basic,0.092,52.15
WK564077,4,7,1.0,123.36,109,90,0.681,Standard,0.211,357.75
WK642479,3,1,1.0,95.49,131,100,0.578,Standard,0.199,113.09
WK909891,4,12,1.0,98.16,183,171,0.651,Basic,0.22,77.24
WK138895,1,8,0.338,74.4,104,71,0.378,Premium,0.065,232.3
WK848022,5,5,1.0,109.38,134,116,0.884,Premium,0.302,440.55
WK813944,1,10,0.432,86.09,80,53,0.406,Standard,0.064,109.33
WK428933,4,2,1.0,96.62,189,174,0.579,Standard,0.232,151.42
WK740051,5,8,1.0,126.4,40,25,0.704,Basic,0.25,239.44
WK315098,1,5,0.451,80.29,144,99,0.455,Standard,0.076,91.39
WK951266,3,9,1.0,108.67,19,16,0.53,Standard,0.167,225.63
WK188374,1,5,0.659,88.58,76,49,0.478,Premium,0.087,206.89
WK853800,3,3,1.0,102.43,6,3,0.535,Basic,0.223,95.06
WK636526,3,6,0.965,98.86,112,65,0.518,Standard,0.184,180.07
WK267800,5,9,1.0,154.4,25,19,0.723,Standard,0.309,342.26
WK911763,1,8,0.481,78.09,171,92,0.454,Standard,0.109,133.96
WK215806,1,5,0.581,83.17,191,140,0.493,Basic,0.113,49.71
WK632151,3,1,1.0,109.61,32,28,0.592,Basic,0.223,84.61
WK230809,2,5,0.744,92.52,140,101,0.508,Premium,0.104,184.66
WK347565,5,7,1.0,127.91,35,24,0.742,Standard,0.251,379.03
WK398357,5,1,1.0,138.35,197,98,0.668,Basic,0.268,96.8
WK644909,1,8,0.617,72.22,171,106,0.339,Basic,0.068,76.0
WK301908,2,12,0.728,97.78,74,56,0.534,Premium,0.16,178.17
WK546370,3,9,1.0,111.29,111,97,0.574,Premium,0.161,304.55
WK236381,1,10,0.654,72.34,78,55,0.413,Basic,0.066,60.32
WK809699,4,1,1.0,121.34,24,14,0.587,Standard,0.234,197.22
WK712686,3,3,1.0,110.3,23,10,0.572,Premium,0.235,292.64
WK822487,5,10,1.0,161.08,66,57,0.886,Standard,0.295,268.49
WK251357,5,4,1.0,138.7,143,127,0.717,Standard,0.327,199.9
WK235670,2,3,0.982,98.01,164,124,0.524,Standard,0.121,111.12
WK577555,4,10,1.0,109.23,144,94,0.625,Premium,0.221,270.99
WK487272,3,12,1.0,110.49,199,134,0.634,Standard,0.226,164.43
WK487538,4,7,1.0,109.92,38,31,0.603,Basic,0.203,182.27
WK223461,2,10,0.972,83.21,65,35,0.48,Basic,0.108,107.35
WK609529,3,11,0.942,95.85,127,59,0.529,Basic,0.184,108.05
WK718265,4,5,1.0,104.23,196,153,0.687,Basic,0.213,116.69
WK326053,2,4,0.961,101.19,106,63,0.486,Premium,0.118,199.9
WK674134,4,5,1.0,112.42,20,10,0.648,Basic,0.246,52.2
WK700896,5,11,1.0,82.93,137,115,0.745,Premium,0.308,286.7
WK919304,1,11,0.311,75.8,70,39,0.415,Premium,0.138,127.47
WK629283,1,6,0.313,68.16,95,77,0.383,Basic,0.115,59.33
WK256219,2,11,0.934,98.21,199,103,0.51,Standard,0.176,127.8
WK514603,2,3,0.713,95.78,44,30,0.516,Standard,0.105,130.0
WK564620,3,8,0.953,113.96,70,43,0.558,Standard,0.195,263.53
WK841561,1,2,0.56,70.28,35,29,0.479,Premium,0.136,150.37
WK229794,3,3,0.963,88.35,26,23,0.573,Premium,0.19,245.78
WK668154,2,3,0.788,87.36,169,120,0.456,Basic,0.128,59.78
WK647098,2,7,0.769,96.76,120,68,0.525,Standard,0.117,191.73
WK119570,5,12,1.0,87.82,183,128,0.749,Standard,0.317,195.55
WK388319,4,9,1.0,117.79,109,85,0.648,Standard,0.277,224.56
WK659461,1,3,0.586,86.24,148,78,0.485,Premium,0.12,126.18
WK615346,1,11,0.41,79.21,40,34,0.496,Standard,0.087,98.21
WK125225,1,7,0.533,65.81,186,118,0.355,Basic,0.095,76.6
WK220213,1,7,0.47,74.34,71,47,0.365,Premium,0.05,226.06
WK291542,3,4,1.0,116.32,131,105,0.573,Premium,0.195,220.59
WK527060,3,4,1.0,73.54,22,13,0.521,Standard,0.167,173.03
WK847949,1,5,0.489,74.85,132,124,0.427,Standard,0.141,87.2
WK249380,1,10,0.424,84.92,92,68,0.409,Premium,0.149,154.86
WK967949,5,1,1.0,155.42,162,90,0.794,Basic,0.255,107.8
WK726004,5,8,1.0,136.54,119,59,0.644,Premium,0.283,613.66
WK628924,2,4,0.766,83.37,65,57,0.475,Standard,0.121,154.95
WK587402,1,9,0.404,80.04,46,40,0.458,Standard,0.076,141.98
WK527288,5,1,1.0,85.83,114,98,0.73,Premium,0.262,348.21
WK714646,4,7,1.0,119.78,110,53,0.657,Standard,0.274,315.45
WK526504,3,8,1.0,107.8,140,77,0.526,Standard,0.246,209.88
WK249282,1,1,0.513,66.32,156,120,0.434,Basic,0.145,48.01
WK663646,5,11,1.0,114.69,185,156,0.712,Basic,0.26,102.15
WK952118,3,12,0.921,110.0,165,148,0.608,Premium,0.222,50.89
WK275512,1,6,0.56,83.95,76,57,0.474,Standard,0.146,142.52
WK363076,2,12,0.971,93.45,114,105,0.551,Standard,0.172,113.55
WK635118,1,7,0.606,74.37,189,98,0.426,Premium,0.143,212.86
WK690433,3,8,1.0,114.93,182,119,0.632,Basic,0.237,132.06
WK228950,1,2,0.698,81.16,138,87,0.469,Standard,0.067,85.77
WK321092,2,12,0.822,96.39,140,85,0.52,Basic,0.193,58.32
WK459279,5,11,1.0,142.9,190,179,0.891,Basic,0.31,106.7
WK794447,2,1,0.674,86.3,178,124,0.547,Basic,0.171,70.37
WK728635,1,5,0.359,86.91,154,86,0.463,Basic,0.098,48.82
WK102146,5,5,1.0,120.12,73,61,0.67,Standard,0.329,247.95
WK805383,4,7,1.0,114.34,147,125,0.548,Standard,0.244,305.49
WK664271,3,5,1.0,109.16,126,103,0.608,Premium,0.152,219.76
WK972503,2,9,0.831,102.51,160,135,0.498,Basic,0.118,98.31
WK952262,5,5,1.0,86.86,36,28,0.738,Standard,0.309,323.83
WK979908,5,8,1.0,106.34,138,120,0.654,Standard,0.301,366.35
WK302365,1,7,0.455,77.8,149,115,0.365,Standard,0.141,122.18
WK895262,5,1,1.0,97.88,135,82,0.766,Premium,0.318,288.97
WK955932,3,4,1.0,102.04,147,134,0.571,Standard,0.167,151.45
WK617795,4,5,1.0,113.42,130,90,0.622,Standard,0.229,185.88
WK838247,1,4,0.66,51.92,121,108,0.307,Basic,0.077,49.47
WK961010,3,6,0.97,101.39,171,108,0.551,Premium,0.178,374.22
WK618008,4,6,1.0,117.64,41,28,0.58,Standard,0.234,279.78
WK693186,1,10,0.363,62.98,60,31,0.431,Basic,0.061,65.27
WK234476,5,1,1.0,143.99,75,53,0.789,Standard,0.326,205.6
WK997034,2,3,0.939,97.0,98,73,0.457,Standard,0.14,127.55
WK810912,3,11,0.903,111.16,149,109,0.601,Basic,0.157,73.37
WK575976,5,1,1.0,121.08,116,59,0.663,Basic,0.321,118.93
WK438689,5,10,1.0,127.2,70,60,0.679,Basic,0.313,153.61
WK813213,3,8,1.0,94.7,179,94,0.573,Premium,0.192,382.23
WK895891,1,1,0.529,92.76,192,135,0.515,Standard,0.089,90.21
WK540467,2,10,0.639,92.77,186,101,0.462,Basic,0.116,52.48
WK304061,5,11,1.0,116.73,71,59,0.718,Premium,0.314,51.67
WK336588,5,9,1.0,126.48,141,89,0.686,Standard,0.319,274.62
WK445217,2,6,0.958,90.42,16,7,0.51,Basic,0.198,170.29
WK552931,5,3,1.0,125.16,167,117,0.676,Standard,0.339,49.29
WK359159,4,8,1.0,127.32,145,115,0.614,Standard,0.227,228.61
WK972957,2,2,0.722,97.59,30,15,0.57,Standard,0.159,164.27
WK348243,2,5,0.679,90.7,170,134,0.467,Premium,0.123,259.3
WK755725,3,2,1.0,101.91,95,79,0.575,Premium,0.24,192.65
WK163634,5,10,1.0,114.68,59,51,0.659,Standard,0.291,247.73
WK827044,5,4,1.0,105.5,175,151,0.823,Basic,0.251,126.21
WK941363,2,7,0.701,97.0,50,37,0.537,Standard,0.195,204.6
WK552816,1,4,0.518,67.5,42,31,0.396,Standard,0.067,127.2
WK409242,2,3,0.884,97.61,59,45,0.529,Basic,0.114,76.09
WK531077,1,11,0.37,79.27,126,96,0.435,Standard,0.084,88.59
WK586758,3,4,1.0,94.45,86,47,0.542,Standard,0.211,176.38
WK808602,3,10,1.0,110.38,169,135,0.531,Basic,0.151,84.8
WK213253,4,1,1.0,123.31,30,13,0.57,Standard,0.291,199.91
WK981621,3,1,1.0,99.55,155,78,0.587,Standard,0.182,120.9
WK368735,4,6,1.0,128.96,123,60,0.699,Standard,0.286,270.85
WK566222,1,11,0.589,80.32,113,56,0.465,Premium,0.079,166.23
WK163429,4,5,1.0,93.93,94,71,0.629,Standard,0.206,184.71
WK783362,5,12,1.0,105.1,145,129,0.767,Standard,0.281,210.71
WK423668,5,12,1.0,117.46,60,44,0.921,Standard,0.322,237.38
WK108474,1,4,0.385,75.03,129,68,0.452,Basic,0.092,54.24
WK631741,4,10,1.0,119.66,113,79,0.609,Standard,0.239,174.94
WK304899,5,12,1.0,95.52,33,24,0.696,Premium,0.293,375.49
WK458143,1,3,0.468,75.02,141,92,0.453,Standard,0.055,89.51
WK590106,5,9,1.0,108.11,188,161,0.825,Basic,0.262,151.7
WK693595,1,2,0.599,76.63,104,79,0.395,Standard,0.128,76.51
WK270162,3,6,1.0,100.05,15,12,0.529,Premium,0.183,362.36
WK103876,1,7,0.308,64.55,180,144,0.372,Premium,0.102,234.34
WK323491,4,10,1.0,109.65,90,54,0.606,Basic,0.203,123.34
WK494172,2,9,0.668,88.21,68,53,0.49,Basic,0.126,105.52
WK107052,5,12,1.0,90.89,16,10,0.77,Basic,0.284,130.09
WK681636,1,8,0.609,48.64,52,37,0.364,Standard,0.131,166.64
WK762002,5,5,1.0,120.25,27,16,0.675,Premium,0.297,485.94
WK131127,4,3,1.0,120.73,7,4,0.588,Basic,0.234,52.32
WK374725,2,6,0.851,93.14,30,17,0.491,Premium,0.132,334.5
WK122536,4,4,1.0,107.61,106,58,0.56,Standard,0.248,218.73
WK122013,3,8,1.0,103.45,177,125,0.515,Standard,0.205,221.78
WK320449,4,4,1.0,112.25,159,103,0.645,Premium,0.204,267.83
WK490437,5,7,1.0,98.6,36,25,0.778,Premium,0.285,601.19
WK168553,4,12,1.0,111.1,9,2,0.625,Basic,0.231,138.8
WK300992,2,7,0.634,88.17,99,50,0.576,Premium,0.113,299.97
WK550405,2,6,0.655,97.21,148,75,0.52,Standard,0.139,150.65
WK408472,2,8,0.705,103.72,19,9,0.509,Basic,0.141,145.23
WK934259,1,2,0.677,73.82,113,64,0.346,Basic,0.1,50.42
WK712454,5,5,1.0,121.13,43,31,0.721,Standard,0.335,266.51
WK929420,3,9,0.933,100.71,97,65,0.504,Basic,0.169,113.67
WK776406,5,9,1.0,125.07,157,110,0.691,Premium,0.303,518.68
WK287693,4,1,1.0,104.12,180,148,0.646,Premium,0.212,229.87
WK606773,2,3,0.843,100.23,140,128,0.492,Basic,0.145,63.4
WK769102,3,10,1.0,95.88,134,121,0.579,Premium,0.151,274.82
WK312861,3,8,1.0,99.84,97,61,0.592,Basic,0.185,139.87
WK420863,1,12,0.569,82.3,48,40,0.381,Basic,0.142,49.07
WK492279,4,11,1.0,119.59,181,149,0.638,Standard,0.217,164.27
WK188109,3,10,1.0,99.14,51,32,0.583,Standard,0.205,203.48
WK143141,4,8,1.0,114.77,145,74,0.61,Standard,0.231,218.5
WK590262,4,4,1.0,114.52,85,56,0.581,Premium,0.285,393.13
WK432420,3,4,0.956,94.7,29,14,0.517,Basic,0.208,99.16
WK345147,4,7,1.0,84.98,159,83,0.606,Basic,0.234,143.53
WK186422,5,2,1.0,95.85,24,17,0.82,Basic,0.314,141.88
WK338804,4,9,1.0,99.14,32,21,0.638,Standard,0.22,358.88
WK672549,4,6,1.0,105.51,65,56,0.587,Standard,0.248,242.82
WK362168,5,12,1.0,128.8,33,28,0.719,Standard,0.303,201.57
WK733375,2,5,0.861,89.03,39,26,0.488,Standard,0.172,158.71
WK414021,3,6,1.0,111.75,67,52,0.557,Premium,0.161,49.6
WK523426,2,7,0.669,88.97,57,31,0.497,Premium,0.161,380.45
WK637549,5,8,1.0,129.37,46,35,0.703,Standard,0.287,411.89
WK858472,5,4,1.0,137.11,61,31,0.752,Basic,0.343,173.67
WK924154,4,7,1.0,102.61,40,29,0.643,Basic,0.299,182.71
WK583814,5,1,1.0,129.18,113,73,0.716,Standard,0.251,165.33
WK296971,3,5,1.0,96.02,158,133,0.503,Standard,0.206,153.74
WK571829,1,10,0.641,84.37,115,85,0.417,Standard,0.102,96.3
WK234580,3,10,1.0,89.81,55,32,0.595,Standard,0.23,221.86
WK790852,1,6,0.47,77.51,135,113,0.426,Premium,0.118,177.73
WK819074,3,6,0.932,94.97,69,63,0.535,Standard,0.205,182.83
WK124368,3,6,1.0,94.47,44,22,0.543,Premium,0.176,412.21
WK261156,5,8,1.0,92.92,90,68,0.735,Standard,0.251,368.59
WK314124,5,3,1.0,89.64,29,25,0.763,Basic,0.309,125.65
WK213915,3,3,1.0,97.27,73,36,0.583,Basic,0.212,105.58
WK419443,5,5,1.0,98.96,153,121,0.831,Standard,0.261,244.32
WK286264,5,5,1.0,105.0,85,79,0.722,Basic,0.319,135.95
WK308665,4,6,1.0,118.67,98,76,0.573,Standard,0.258,49.99
WK405246,4,7,1.0,119.27,125,100,0.643,Standard,0.246,288.41
WK643719,1,1,0.401,83.44,112,99,0.389,Standard,0.06,79.71
WK530819,3,3,1.0,89.83,78,36,0.563,Basic,0.237,96.95
WK538738,1,4,0.341,83.39,46,35,0.481,Standard,0.101,113.14
WK316509,1,7,0.35,74.33,128,80,0.417,Standard,0.078,114.34
WK957626,3,3,1.0,113.39,159,99,0.569,Premium,0.222,197.84
WK626883,2,1,0.881,80.14,39,22,0.494,Standard,0.198,121.99
WK249623,3,5,1.0,102.58,174,138,0.519,Basic,0.196,47.65
WK358830,4,10,1.0,78.0,147,97,0.6,Standard,0.299,173.73
WK704118,3,7,0.945,75.85,194,141,0.585,Basic,0.25,113.3
WK578472,5,5,1.0,101.02,25,21,0.799,Standard,0.272,306.66
WK963428,5,7,1.0,113.07,105,62,0.696,Basic,0.324,210.02
WK747743,4,8,1.0,107.97,57,27,0.603,Basic,0.251,171.91
WK292355,3,9,1.0,105.1,98,68,0.513,Basic,0.201,110.23
WK145785,5,3,1.0,131.47,183,92,0.689,Basic,0.328,117.77
WK758592,3,1,0.982,102.61,36,16,0.527,Basic,0.197,99.88
WK857501,4,1,1.0,107.47,63,55,0.684,Basic,0.263,95.43
WK679677,5,12,1.0,113.11,146,117,0.794,Standard,0.293,184.85
WK628896,2,6,0.841,94.0,172,157,0.554,Premium,0.112,260.17
WK317445,2,9,0.634,73.59,174,116,0.522,Premium,0.138,254.7
WK769900,5,12,1.0,115.41,153,121,0.697,Premium,0.269,49.25
WK997343,3,8,0.958,105.28,146,127,0.587,Premium,0.172,349.89
WK220253,1,7,0.582,43.03,146,131,0.282,Basic,0.074,47.71
WK171551,5,11,1.0,163.25,31,18,0.807,Standard,0.349,250.3
WK558986,5,12,1.0,146.35,130,87,0.994,Premium,0.293,303.48
WK278875,5,1,1.0,87.1,180,121,0.807,Standard,0.308,210.86
WK230182,1,7,0.68,75.32,117,84,0.43,Basic,0.125,76.16
WK804005,3,4,1.0,116.53,28,18,0.592,Basic,0.23,105.3
WK475481,4,11,1.0,125.24,78,55,0.625,Premium,0.22,257.29
WK658155,5,2,1.0,141.71,68,31,0.721,Standard,0.292,313.09
