worker_id,zone_risk_tier,claim_frequency_30d,claim_amount_zscore,location_jump_count,gps_spoof_probability,policy_tenure_weeks,earnings_deviation,claim_timing_anomaly,peer_claim_correlation,device_change_count,login_anomaly_score,route_deviation_score,delivery_speed_anomaly,duplicate_claim_score,network_fraud_ring_score,barometric_consistency,zone_transition_anomaly,claim_photo_similarity_score,platform_switch_frequency,behavioral_baseline_deviation,label_fraud,fraud_type
WK0001418,4,0,0.053,2,0.153,100,-0.388,0.229,0.147,0,0.112,0.161,0.145,0.04,0.004,0.876,0.057,0.101,0.078,0.2,0,none
WK0001419,5,3,0.889,1,0.043,108,-0.27,0.2,0.266,1,0.061,0.206,0.076,0.122,0.028,0.856,0.137,0.072,0.085,0.007,0,none
WK0001420,1,0,-0.016,2,0.066,81,-0.075,0.25,0.11,1,0.102,0.078,0.121,0.011,0.097,0.852,0.156,0.159,0.079,0.215,0,none
WK0001421,4,0,0.756,1,0.001,132,0.201,0.242,0.006,0,0.239,0.069,0.237,0.017,0.054,0.858,0.021,0.074,0.038,0.156,0,none
WK0001422,5,2,-0.854,2,0.156,126,0.081,0.256,0.18,0,0.188,0.171,0.22,0.091,0.14,0.901,0.026,0.221,0.01,0.062,0,none
WK0001423,4,1,-2.07,2,0.308,177,-0.212,0.24,0.356,1,0.185,0.224,0.043,0.058,0.106,0.911,0.037,0.271,0.132,0.152,0,none
WK0001424,4,0,-0.137,2,0.028,25,-0.174,0.202,0.013,0,0.08,0.123,0.149,0.107,0.03,0.826,0.054,0.075,0.13,0.231,0,none
WK0001425,1,1,-0.473,1,0.031,92,0.131,0.098,0.241,0,0.066,0.24,0.041,0.086,0.11,0.919,0.056,0.041,0.117,0.038,0,none
WK0001426,3,0,-0.039,2,0.033,64,0.031,0.117,0.12,1,0.168,0.198,0.08,0.132,0.043,0.908,0.083,0.239,0.072,0.21,0,none
WK0001427,5,0,1.687,0,0.176,146,-0.218,0.141,0.308,0,0.006,0.051,0.216,0.058,0.104,0.85,0.08,0.086,0.051,0.031,0,none
WK0001428,1,1,0.2,1,0.006,7,0.272,0.194,0.006,0,0.191,0.126,0.159,0.112,0.058,0.832,0.101,0.058,0.072,0.105,0,none
WK0001429,2,1,-0.805,1,0.228,155,-0.268,0.124,0.078,1,0.029,0.253,0.088,0.0,0.121,0.823,0.037,0.244,0.13,0.212,0,none
WK0001430,3,0,-0.631,0,0.05,71,0.299,0.027,0.107,1,0.155,0.205,0.093,0.012,0.006,0.985,0.056,0.245,0.089,0.093,0,none
WK0001431,3,2,-0.579,0,0.222,69,-0.078,0.077,0.193,1,0.219,0.044,0.22,0.068,0.08,0.955,0.129,0.178,0.062,0.057,0,none
WK0001432,2,1,0.67,0,0.112,12,-0.253,0.142,0.208,1,0.045,0.11,0.074,0.06,0.09,0.802,0.109,0.068,0.002,0.177,0,none
WK0001433,4,0,0.705,1,0.018,73,0.11,0.256,0.053,1,0.208,0.048,0.188,0.114,0.141,0.919,0.018,0.277,0.052,0.184,0,none
WK0001434,1,0,1.975,1,0.072,160,-0.17,0.247,0.359,1,0.06,0.066,0.124,0.026,0.024,0.805,0.028,0.164,0.045,0.016,0,none
WK0001435,3,0,-0.812,1,0.227,25,-0.282,0.183,0.013,0,0.164,0.034,0.163,0.136,0.174,0.926,0.108,0.264,0.114,0.039,0,none
WK0001436,3,1,1.884,1,0.114,176,-0.146,0.149,0.114,1,0.101,0.073,0.111,0.114,0.089,0.879,0.025,0.103,0.133,0.139,0,none
WK0001437,1,0,-1.41,2,0.043,164,-0.315,0.167,0.272,0,0.059,0.146,0.067,0.064,0.168,0.921,0.035,0.229,0.095,0.12,0,none
WK0001438,3,0,-0.791,2,0.033,124,-0.174,0.265,0.237,0,0.191,0.102,0.005,0.122,0.03,0.81,0.098,0.267,0.011,0.207,0,none
WK0001439,5,0,-0.516,1,0.12,32,0.067,0.141,0.09,1,0.162,0.046,0.129,0.068,0.128,0.959,0.122,0.165,0.136,0.119,0,none
WK0001440,2,0,-0.344,1,0.019,88,0.119,0.277,0.102,0,0.008,0.25,0.018,0.076,0.165,0.805,0.021,0.111,0.103,0.205,0,none
WK0001441,2,2,-1.765,1,0.05,128,-0.201,0.159,0.2,0,0.111,0.093,0.154,0.084,0.047,0.954,0.057,0.08,0.008,0.008,0,none
WK0001442,1,1,-0.302,0,0.298,111,-0.139,0.094,0.151,0,0.053,0.082,0.133,0.123,0.152,0.838,0.141,0.103,0.118,0.179,0,none
WK0001443,5,0,-1.074,0,0.068,79,-0.082,0.093,0.238,0,0.042,0.07,0.239,0.012,0.003,0.875,0.058,0.089,0.079,0.155,0,none
WK0001444,3,0,0.408,2,0.061,79,-0.072,0.203,0.251,0,0.003,0.237,0.077,0.069,0.095,0.871,0.025,0.05,0.153,0.066,0,none
WK0001445,4,0,-0.235,0,0.04,176,0.595,0.146,0.015,1,0.11,0.156,0.016,0.138,0.058,0.816,0.079,0.029,0.057,0.082,0,none
WK0001446,5,1,0.895,1,0.324,112,0.13,0.044,0.018,0,0.061,0.183,0.237,0.053,0.119,0.996,0.028,0.222,0.057,0.033,0,none
WK0001447,5,0,-1.298,2,0.148,169,-0.104,0.081,0.335,0,0.105,0.277,0.135,0.061,0.105,0.891,0.094,0.041,0.108,0.16,0,none
WK0001448,2,1,0.501,0,0.064,117,-0.029,0.073,0.268,0,0.135,0.081,0.092,0.039,0.086,0.883,0.116,0.262,0.023,0.056,0,none
WK0001449,2,0,1.044,0,0.141,76,0.26,0.21,0.37,0,0.154,0.107,0.231,0.13,0.02,0.977,0.15,0.064,0.057,0.028,0,none
WK0001450,1,0,-0.398,0,0.209,5,-0.347,0.232,0.051,1,0.049,0.047,0.081,0.018,0.165,0.842,0.177,0.072,0.091,0.044,0,none
WK0001451,3,2,1.042,1,0.17,114,-0.461,0.222,0.189,0,0.171,0.084,0.056,0.074,0.003,0.903,0.106,0.157,0.067,0.236,0,none
WK0001452,1,1,-0.509,2,0.009,191,-0.327,0.27,0.216,0,0.236,0.106,0.058,0.054,0.036,0.909,0.176,0.0,0.042,0.172,0,none
WK0001453,2,3,0.369,1,0.07,30,0.213,0.159,0.306,1,0.088,0.035,0.061,0.125,0.082,0.929,0.074,0.108,0.098,0.169,0,none
WK0001454,4,1,0.138,2,0.034,95,0.01,0.222,0.365,1,0.235,0.128,0.1,0.008,0.094,0.98,0.071,0.125,0.13,0.012,0,none
WK0001455,1,13,0.366,2,0.016,139,0.067,0.061,0.172,1,0.198,0.073,0.186,0.786,0.138,0.888,0.084,0.942,0.047,0.219,1,duplicate_claim
WK0001456,1,1,-0.513,2,0.375,17,-0.107,0.067,0.363,1,0.24,0.1,0.099,0.046,0.027,0.862,0.134,0.253,0.025,0.196,0,none
WK0001457,4,2,-0.798,0,0.029,105,0.151,0.19,0.125,1,0.117,0.182,0.011,0.111,0.018,0.834,0.047,0.092,0.034,0.235,0,none
WK0001458,3,0,0.116,2,0.043,26,0.025,0.253,0.285,1,0.097,0.188,0.21,0.027,0.058,0.997,0.051,0.072,0.017,0.097,0,none
WK0001459,1,1,1.005,2,0.224,193,-0.286,0.008,0.197,0,0.159,0.06,0.071,0.135,0.011,0.838,0.049,0.092,0.045,0.211,0,none
WK0001460,5,1,-0.373,0,0.004,116,0.104,0.007,0.352,0,0.139,0.034,0.217,0.094,0.009,0.823,0.129,0.172,0.125,0.116,0,none
WK0001461,2,6,2.704,0,0.805,136,0.02,0.737,0.226,0,0.067,0.207,0.225,0.007,0.075,0.195,0.159,0.1,0.025,0.206,1,fake_rain_claim
WK0001462,1,2,0.564,0,0.01,177,0.155,0.13,0.194,1,0.142,0.157,0.078,0.057,0.131,0.999,0.141,0.208,0.095,0.107,0,none
WK0001463,5,11,0.532,0,0.214,184,0.224,0.14,0.02,0,0.026,0.15,0.079,0.748,0.06,0.857,0.028,0.831,0.027,0.19,1,duplicate_claim
WK0001464,5,1,-0.642,2,0.017,155,0.071,0.18,0.263,1,0.224,0.23,0.093,0.119,0.129,0.804,0.174,0.255,0.103,0.088,0,none
WK0001465,3,1,0.001,0,0.151,175,0.124,0.056,0.083,1,0.146,0.123,0.096,0.094,0.143,0.972,0.092,0.235,0.154,0.123,0,none
WK0001466,4,2,0.729,0,0.145,165,0.327,0.027,0.039,1,0.079,0.176,0.037,0.028,0.08,0.868,0.101,0.027,0.148,0.177,0,none
WK0001467,4,0,0.777,2,0.02,106,0.208,0.033,0.01,0,0.13,0.272,0.013,0.014,0.005,0.816,0.03,0.231,0.136,0.087,0,none
WK0001468,5,0,1.021,1,0.539,8,-0.317,0.247,0.052,1,0.107,0.217,0.005,0.088,0.005,0.945,0.175,0.14,0.033,0.109,0,none
WK0001469,2,2,1.088,2,0.187,190,0.278,0.202,0.208,0,0.127,0.128,0.164,0.087,0.152,0.869,0.088,0.211,0.118,0.061,0,none
WK0001470,4,6,3.521,1,0.722,157,0.32,0.697,0.223,1,0.08,0.015,0.063,0.06,0.046,0.107,0.089,0.003,0.118,0.239,1,fake_rain_claim
WK0001471,5,0,-0.553,2,0.116,49,0.049,0.194,0.138,0,0.004,0.027,0.159,0.014,0.173,0.854,0.088,0.036,0.124,0.103,0,none
WK0001472,4,2,-0.632,0,0.086,44,0.046,0.006,0.213,0,0.044,0.002,0.122,0.013,0.065,0.872,0.012,0.207,0.029,0.059,0,none
WK0001473,5,2,-0.326,0,0.188,191,-0.006,0.085,0.022,0,0.025,0.194,0.19,0.027,0.174,0.87,0.157,0.136,0.026,0.239,0,none
WK0001474,5,0,0.336,1,0.093,66,-0.081,0.111,0.283,0,0.054,0.249,0.236,0.082,0.101,0.859,0.133,0.174,0.045,0.043,0,none
WK0001475,3,0,0.891,0,0.048,77,-0.055,0.12,0.19,1,0.143,0.12,0.058,0.019,0.057,0.809,0.032,0.27,0.022,0.136,0,none
WK0001476,4,1,-1.635,2,0.21,177,-0.065,0.123,0.031,1,0.174,0.255,0.175,0.121,0.087,0.882,0.172,0.104,0.161,0.113,0,none
WK0001477,1,0,-0.443,0,0.14,60,0.139,0.168,0.259,1,0.014,0.122,0.177,0.019,0.179,0.83,0.114,0.084,0.113,0.078,0,none
WK0001478,1,1,0.526,1,0.136,192,0.15,0.042,0.06,0,0.112,0.261,0.051,0.001,0.043,0.994,0.178,0.027,0.136,0.095,0,none
WK0001479,1,1,-0.629,0,0.037,105,0.252,0.236,0.208,0,0.137,0.182,0.229,0.066,0.018,0.874,0.021,0.175,0.055,0.14,0,none
WK0001480,4,1,0.437,2,0.082,72,3.083,0.115,0.326,1,0.038,0.089,0.783,0.098,0.097,0.878,0.121,0.246,0.063,0.717,1,earnings_manipulation
WK0001481,2,0,1.02,0,0.148,67,0.15,0.212,0.236,1,0.232,0.265,0.012,0.097,0.0,0.833,0.131,0.257,0.09,0.078,0,none
WK0001482,2,0,1.083,0,0.089,62,-0.215,0.039,0.231,0,0.02,0.167,0.198,0.089,0.105,0.926,0.088,0.078,0.149,0.105,0,none
WK0001483,5,0,0.493,2,0.008,69,0.192,0.154,0.263,1,0.154,0.239,0.1,0.062,0.116,0.8,0.077,0.25,0.063,0.145,0,none
WK0001484,1,2,0.034,0,0.099,44,0.263,0.17,0.036,1,0.202,0.061,0.085,0.012,0.025,0.996,0.019,0.248,0.14,0.215,0,none
WK0001485,5,1,0.261,1,0.131,154,-0.223,0.11,0.349,1,0.151,0.031,0.108,0.035,0.168,0.955,0.057,0.057,0.034,0.091,0,none
WK0001486,4,0,0.622,0,0.123,106,0.246,0.191,0.163,1,0.032,0.043,0.217,0.008,0.14,0.983,0.013,0.131,0.106,0.237,0,none
WK0001487,5,1,-1.236,1,0.218,182,0.376,0.008,0.161,0,0.174,0.017,0.157,0.124,0.008,0.84,0.159,0.103,0.159,0.086,0,none
WK0001488,4,2,-0.427,2,0.123,170,-0.281,0.016,0.109,0,0.08,0.19,0.139,0.014,0.023,0.881,0.011,0.218,0.102,0.227,0,none
WK0001489,1,1,1.742,0,0.204,12,-0.327,0.057,0.014,1,0.063,0.047,0.053,0.129,0.016,0.86,0.05,0.105,0.051,0.143,0,none
WK0001490,2,1,0.507,1,0.029,146,0.018,0.068,0.292,0,0.072,0.072,0.175,0.13,0.14,0.914,0.147,0.161,0.147,0.131,0,none
WK0001491,1,2,-1.368,2,0.073,136,0.44,0.054,0.315,1,0.06,0.207,0.021,0.056,0.085,0.952,0.136,0.273,0.051,0.122,0,none
WK0001492,3,1,-0.461,0,0.083,151,0.219,0.196,0.346,0,0.007,0.072,0.18,0.065,0.08,0.99,0.03,0.06,0.071,0.155,0,none
WK0001493,1,2,2.494,1,0.392,89,0.225,0.262,0.109,0,0.123,0.16,0.085,0.061,0.077,0.871,0.126,0.259,0.118,0.129,0,none
WK0001494,5,0,0.597,0,0.163,28,0.007,0.194,0.357,0,0.032,0.223,0.233,0.139,0.031,0.989,0.057,0.266,0.156,0.017,0,none
WK0001495,3,2,1.68,0,0.006,197,0.384,0.17,0.123,0,0.189,0.194,0.219,0.001,0.061,0.854,0.15,0.005,0.013,0.136,0,none
WK0001496,2,0,0.568,2,0.041,181,-0.366,0.192,0.272,0,0.235,0.259,0.229,0.027,0.145,0.979,0.026,0.112,0.021,0.126,0,none
WK0001497,5,0,-0.078,2,0.19,20,-0.137,0.032,0.372,1,0.056,0.104,0.118,0.034,0.039,0.949,0.179,0.009,0.037,0.151,0,none
WK0001498,3,0,-1.357,2,0.298,42,0.094,0.172,0.11,0,0.21,0.236,0.087,0.109,0.075,0.836,0.059,0.147,0.147,0.188,0,none
WK0001499,5,0,-0.44,2,0.008,7,1.636,0.27,0.054,0,0.088,0.168,0.901,0.097,0.104,0.871,0.113,0.114,0.114,0.888,1,earnings_manipulation
WK0001500,1,0,-0.397,2,0.102,26,-0.081,0.006,0.031,0,0.163,0.162,0.106,0.001,0.083,0.974,0.179,0.162,0.042,0.018,0,none
WK0001501,2,0,0.98,2,0.343,90,0.2,0.239,0.048,0,0.23,0.226,0.068,0.002,0.145,0.855,0.13,0.141,0.14,0.058,0,none
WK0001502,1,1,-0.402,1,0.021,186,-0.246,0.248,0.194,0,0.096,0.008,0.076,0.093,0.016,0.835,0.042,0.179,0.008,0.207,0,none
WK0001503,5,1,-1.886,1,0.062,83,-0.225,0.012,0.365,0,0.21,0.197,0.221,0.073,0.12,0.973,0.147,0.227,0.129,0.206,0,none
WK0001504,5,1,-0.287,0,0.176,97,0.21,0.217,0.298,1,0.228,0.146,0.178,0.063,0.085,0.961,0.042,0.139,0.085,0.15,0,none
WK0001505,1,0,0.336,1,0.004,63,0.173,0.119,0.29,0,0.056,0.174,0.038,0.045,0.062,0.995,0.052,0.077,0.178,0.135,0,none
WK0001506,5,0,0.607,0,0.219,133,0.137,0.159,0.078,1,0.163,0.209,0.232,0.019,0.08,0.913,0.138,0.119,0.124,0.093,0,none
WK0001507,3,0,-0.97,2,0.228,140,0.06,0.142,0.19,1,0.19,0.117,0.05,0.097,0.109,0.85,0.104,0.226,0.104,0.009,0,none
WK0001508,5,1,1.036,1,0.003,21,0.105,0.092,0.09,0,0.213,0.204,0.078,0.05,0.156,0.807,0.177,0.068,0.156,0.003,0,none
WK0001509,5,2,-0.587,2,0.016,53,0.184,0.176,0.33,1,0.183,0.123,0.217,0.056,0.013,0.904,0.086,0.063,0.106,0.107,0,none
WK0001510,1,0,1.428,1,0.235,28,0.034,0.055,0.042,1,0.091,0.096,0.059,0.029,0.094,0.918,0.091,0.062,0.178,0.137,0,none
WK0001511,1,0,0.282,1,0.036,127,-0.105,0.18,0.255,0,0.143,0.181,0.206,0.067,0.162,0.933,0.03,0.059,0.166,0.008,0,none
WK0001512,4,15,0.351,2,0.157,148,0.06,0.165,0.063,1,0.001,0.049,0.125,0.992,0.004,0.875,0.095,0.912,0.004,0.041,1,duplicate_claim
WK0001513,1,0,1.912,2,0.055,19,0.35,0.015,0.152,0,0.063,0.165,0.104,0.021,0.048,0.846,0.045,0.002,0.054,0.006,0,none
WK0001514,5,0,0.481,0,0.128,170,0.16,0.125,0.126,0,0.124,0.045,0.138,0.123,0.133,0.947,0.102,0.175,0.12,0.165,0,none
WK0001515,1,0,0.439,1,0.053,88,-0.14,0.012,0.172,1,0.23,0.085,0.121,0.077,0.002,0.909,0.03,0.122,0.176,0.238,0,none
WK0001516,1,0,0.054,1,0.216,29,0.034,0.175,0.374,1,0.228,0.19,0.088,0.019,0.08,0.861,0.147,0.183,0.056,0.203,0,none
WK0001517,3,0,0.198,2,0.363,185,-0.127,0.097,0.055,1,0.004,0.003,0.073,0.01,0.08,0.994,0.112,0.01,0.127,0.207,0,none
WK0001518,4,1,0.842,0,0.099,153,-0.15,0.189,0.037,0,0.206,0.272,0.089,0.105,0.151,0.973,0.136,0.047,0.038,0.092,0,none
WK0001519,3,0,1.675,1,0.086,141,0.053,0.048,0.377,0,0.121,0.197,0.117,0.011,0.164,0.917,0.062,0.088,0.06,0.094,0,none
WK0001520,4,1,0.034,0,0.032,73,0.113,0.039,0.111,1,0.225,0.037,0.163,0.018,0.017,0.98,0.107,0.033,0.07,0.096,0,none
WK0001521,2,0,-0.365,2,0.084,71,-0.021,0.039,0.33,0,0.211,0.185,0.205,0.03,0.043,0.92,0.152,0.262,0.081,0.023,0,none
WK0001522,5,1,-0.91,1,0.024,177,0.01,0.256,0.356,0,0.238,0.095,0.037,0.118,0.073,0.874,0.107,0.23,0.117,0.223,0,none
WK0001523,3,1,1.61,0,0.084,128,0.1,0.107,0.017,1,0.226,0.184,0.104,0.028,0.006,0.842,0.159,0.129,0.151,0.083,0,none
WK0001524,2,1,-0.842,1,0.15,153,-0.124,0.141,0.194,1,0.222,0.279,0.228,0.133,0.119,0.949,0.052,0.226,0.017,0.179,0,none
WK0001525,4,17,3.114,0,0.045,89,0.179,0.077,0.313,0,0.211,0.106,0.006,0.852,0.003,0.952,0.17,0.965,0.091,0.171,1,duplicate_claim
WK0001526,3,1,0.696,0,0.054,106,0.254,0.078,0.375,1,0.058,0.245,0.138,0.112,0.013,0.845,0.001,0.211,0.027,0.166,0,none
WK0001527,3,0,-0.968,0,0.008,24,0.289,0.203,0.145,1,0.121,0.035,0.014,0.11,0.117,0.884,0.023,0.104,0.16,0.022,0,none
WK0001528,5,1,1.587,1,0.263,54,0.134,0.012,0.354,0,0.004,0.171,0.024,0.064,0.134,0.96,0.021,0.103,0.05,0.178,0,none
WK0001529,4,1,0.62,1,0.058,32,0.132,0.035,0.309,0,0.228,0.129,0.119,0.018,0.149,0.976,0.037,0.053,0.163,0.225,0,none
WK0001530,2,2,-1.389,1,0.004,12,0.196,0.008,0.292,1,0.148,0.139,0.0,0.005,0.092,0.865,0.061,0.186,0.111,0.047,0,none
WK0001531,2,0,0.205,0,0.043,183,-0.24,0.278,0.147,1,0.106,0.127,0.138,0.085,0.123,0.953,0.085,0.104,0.174,0.017,0,none
WK0001532,1,2,-0.717,1,0.022,189,0.019,0.217,0.214,1,0.198,0.093,0.018,0.081,0.125,0.959,0.013,0.226,0.108,0.009,0,none
WK0001533,1,1,-0.739,0,0.218,29,0.19,0.018,0.238,0,0.034,0.152,0.143,0.039,0.083,0.97,0.058,0.052,0.094,0.083,0,none
WK0001534,4,0,-1.466,2,0.119,135,0.274,0.128,0.341,1,0.219,0.188,0.08,0.044,0.032,0.876,0.044,0.217,0.116,0.006,0,none
WK0001535,3,0,0.262,0,0.112,9,-0.178,0.15,0.136,1,0.183,0.187,0.147,0.132,0.017,0.814,0.005,0.122,0.15,0.234,0,none
WK0001536,1,0,-0.871,0,0.097,113,-0.233,0.2,0.072,0,0.168,0.043,0.089,0.116,0.063,0.812,0.006,0.185,0.108,0.206,0,none
WK0001537,4,1,0.273,1,0.05,90,-0.005,0.203,0.347,1,0.18,0.203,0.02,0.136,0.047,0.862,0.036,0.095,0.115,0.215,0,none
WK0001538,1,1,0.725,0,0.055,127,0.36,0.266,0.215,0,0.046,0.11,0.111,0.117,0.147,0.845,0.089,0.159,0.177,0.056,0,none
WK0001539,1,10,1.06,0,0.463,111,-0.007,0.131,0.349,0,0.236,0.054,0.098,0.817,0.033,0.805,0.092,0.845,0.113,0.215,1,duplicate_claim
WK0001540,3,1,1.56,2,0.034,43,0.079,0.185,0.167,1,0.011,0.119,0.148,0.09,0.026,0.966,0.034,0.09,0.154,0.054,0,none
WK0001541,4,1,-0.408,0,0.004,139,0.219,0.083,0.066,1,0.037,0.155,0.072,0.086,0.126,0.988,0.151,0.154,0.038,0.028,0,none
WK0001542,3,7,4.347,1,0.469,81,0.077,0.817,0.214,0,0.227,0.024,0.138,0.086,0.075,0.201,0.109,0.278,0.019,0.022,1,fake_rain_claim
WK0001543,3,3,-0.652,0,0.108,131,0.056,0.235,0.171,1,0.057,0.173,0.111,0.047,0.121,0.81,0.1,0.034,0.148,0.062,0,none
WK0001544,4,2,0.704,0,0.246,184,-0.078,0.087,0.211,0,0.039,0.118,0.153,0.006,0.151,0.987,0.117,0.228,0.003,0.146,0,none
WK0001545,2,0,0.383,0,0.098,169,0.073,0.022,0.34,1,0.073,0.066,0.073,0.007,0.055,0.943,0.005,0.258,0.158,0.134,0,none
WK0001546,4,0,-0.415,2,0.112,19,-0.327,0.114,0.096,0,0.222,0.259,0.206,0.121,0.072,0.839,0.143,0.246,0.123,0.215,0,none
WK0001547,3,0,0.093,8,0.712,148,-0.094,0.005,0.315,0,0.111,0.954,0.107,0.091,0.15,0.844,0.911,0.192,0.133,0.023,1,location_fraud
WK0001548,5,0,-0.72,2,0.009,22,0.016,0.115,0.297,0,0.166,0.121,0.224,0.071,0.008,0.801,0.126,0.193,0.143,0.134,0,none
WK0001549,3,0,-1.171,0,0.175,92,-0.278,0.25,0.33,1,0.101,0.028,0.212,0.019,0.067,0.82,0.093,0.206,0.167,0.2,0,none
WK0001550,4,2,-0.596,2,0.19,105,0.266,0.237,0.975,6,0.851,0.092,0.041,0.095,0.993,0.875,0.052,0.263,0.054,0.012,1,fraud_ring
WK0001551,3,1,-1.53,0,0.227,72,0.169,0.154,0.113,0,0.033,0.268,0.022,0.13,0.075,0.93,0.062,0.147,0.06,0.223,0,none
WK0001552,3,2,-0.089,2,0.188,121,0.41,0.16,0.38,0,0.006,0.058,0.201,0.091,0.165,0.808,0.029,0.203,0.1,0.077,0,none
WK0001553,5,1,1.65,2,0.036,127,0.273,0.049,0.021,0,0.151,0.018,0.158,0.037,0.106,0.91,0.108,0.177,0.021,0.171,0,none
WK0001554,2,2,0.795,0,0.013,74,-0.002,0.101,0.248,0,0.197,0.224,0.2,0.047,0.053,0.8,0.036,0.009,0.1,0.077,0,none
WK0001555,5,0,-0.505,2,0.088,70,-0.013,0.023,0.034,1,0.238,0.192,0.036,0.013,0.089,0.989,0.169,0.064,0.114,0.057,0,none
WK0001556,1,2,-0.673,1,0.049,198,-0.255,0.091,0.005,0,0.179,0.225,0.238,0.136,0.048,0.91,0.065,0.163,0.149,0.008,0,none
WK0001557,4,1,-1.026,0,0.223,20,-0.251,0.077,0.117,0,0.22,0.268,0.089,0.116,0.147,0.81,0.119,0.262,0.145,0.124,0,none
WK0001558,4,0,-3.141,1,0.064,102,-0.151,0.136,0.071,0,0.194,0.128,0.181,0.025,0.039,0.996,0.039,0.138,0.062,0.016,0,none
WK0001559,4,0,1.499,1,0.223,120,-0.178,0.091,0.115,1,0.035,0.181,0.175,0.107,0.012,0.968,0.086,0.08,0.1,0.042,0,none
WK0001560,2,1,-1.326,1,0.085,126,0.049,0.128,0.006,1,0.097,0.167,0.188,0.019,0.021,0.955,0.049,0.082,0.116,0.002,0,none
WK0001561,3,0,0.138,2,0.126,56,0.088,0.085,0.11,0,0.158,0.009,0.122,0.016,0.033,0.944,0.171,0.085,0.097,0.0,0,none
WK0001562,1,1,0.527,1,0.129,15,0.042,0.123,0.255,0,0.194,0.253,0.187,0.075,0.101,0.876,0.123,0.091,0.061,0.185,0,none
WK0001563,4,0,-0.702,1,0.013,74,-0.124,0.006,0.058,1,0.114,0.146,0.2,0.054,0.004,0.977,0.081,0.23,0.176,0.201,0,none
WK0001564,5,1,0.539,0,0.081,73,-0.143,0.272,0.19,1,0.001,0.079,0.066,0.011,0.008,0.812,0.0,0.135,0.11,0.002,0,none
WK0001565,3,0,-0.386,1,0.002,113,0.197,0.263,0.149,1,0.09,0.112,0.053,0.077,0.173,0.874,0.048,0.262,0.022,0.056,0,none
WK0001566,4,1,-0.766,1,0.068,174,-0.197,0.01,0.232,0,0.061,0.149,0.034,0.121,0.056,0.925,0.035,0.182,0.081,0.089,0,none
WK0001567,2,0,0.399,0,0.069,124,-0.419,0.071,0.083,1,0.113,0.086,0.057,0.132,0.145,0.942,0.04,0.103,0.17,0.064,0,none
WK0001568,2,0,-0.247,1,0.08,95,0.461,0.033,0.072,1,0.153,0.129,0.239,0.063,0.103,0.838,0.016,0.13,0.1,0.194,0,none
WK0001569,4,1,1.129,0,0.157,162,-0.071,0.024,0.792,4,0.733,0.241,0.096,0.115,0.964,0.874,0.006,0.278,0.086,0.177,1,fraud_ring
WK0001570,1,1,0.33,2,0.024,90,0.064,0.104,0.204,1,0.206,0.074,0.08,0.057,0.035,0.891,0.035,0.107,0.041,0.127,0,none
WK0001571,3,0,-0.769,1,0.014,149,-0.002,0.194,0.05,1,0.006,0.049,0.24,0.104,0.084,0.98,0.018,0.085,0.081,0.207,0,none
WK0001572,1,1,-0.262,0,0.081,33,-0.002,0.227,0.106,0,0.116,0.003,0.176,0.063,0.094,0.911,0.006,0.163,0.037,0.052,0,none
WK0001573,3,0,0.498,2,0.013,134,0.192,0.225,0.349,0,0.216,0.256,0.128,0.018,0.115,0.995,0.096,0.268,0.142,0.025,0,none
WK0001574,5,0,0.693,1,0.057,114,0.067,0.148,0.194,1,0.211,0.238,0.14,0.111,0.065,0.87,0.168,0.056,0.038,0.194,0,none
WK0001575,3,3,-1.101,0,0.106,141,0.029,0.208,0.079,1,0.068,0.273,0.118,0.049,0.177,0.889,0.145,0.079,0.094,0.073,0,none
WK0001576,5,2,1.397,1,0.134,103,-0.444,0.152,0.348,0,0.15,0.237,0.171,0.128,0.165,0.884,0.014,0.215,0.031,0.129,0,none
WK0001577,4,0,1.613,0,0.055,172,-0.098,0.171,0.285,1,0.215,0.029,0.21,0.131,0.178,0.884,0.078,0.068,0.113,0.085,0,none
WK0001578,2,0,-1.004,0,0.135,103,0.062,0.112,0.275,1,0.222,0.106,0.091,0.102,0.13,0.843,0.11,0.257,0.032,0.066,0,none
WK0001579,5,1,-0.439,1,0.041,30,0.096,0.097,0.354,0,0.236,0.272,0.23,0.024,0.137,0.871,0.05,0.252,0.16,0.179,0,none
WK0001580,4,1,-0.872,2,0.531,194,-0.166,0.077,0.084,0,0.022,0.117,0.017,0.102,0.134,0.898,0.177,0.065,0.034,0.191,0,none
WK0001581,5,1,-0.321,2,0.049,165,0.02,0.225,0.34,0,0.164,0.276,0.219,0.101,0.117,0.991,0.027,0.17,0.164,0.2,0,none
WK0001582,1,1,-0.3,0,0.042,67,0.284,0.194,0.308,1,0.235,0.25,0.008,0.116,0.037,0.816,0.125,0.022,0.053,0.128,0,none
WK0001583,1,1,-0.658,1,0.11,50,0.098,0.16,0.254,1,0.02,0.173,0.237,0.064,0.117,0.822,0.138,0.258,0.012,0.093,0,none
WK0001584,5,0,-0.905,0,0.004,166,-0.016,0.02,0.357,0,0.181,0.058,0.171,0.071,0.071,0.867,0.014,0.047,0.115,0.111,0,none
WK0001585,2,0,2.369,0,0.093,85,0.366,0.266,0.196,0,0.078,0.278,0.179,0.065,0.11,0.809,0.078,0.278,0.053,0.067,0,none
WK0001586,1,0,-2.452,0,0.005,189,0.065,0.211,0.092,1,0.085,0.134,0.116,0.133,0.073,0.955,0.124,0.118,0.069,0.094,0,none
